solver,mode,converged,solve_time_s,obj_val
socp_opf,opf,True,0.120595,2464.485359
dc_opf,opf,True,0.003267,2246.750000
pp_acpf,pf,True,1.071017,
pp_dcopf,opf,True,0.014885,
pp_acopf,acopf,True,0.070867,2464.489591

bus_name,socp_opf_vmag,dc_opf_vmag,pp_acpf_vmag,pp_dcopf_vmag,pp_acopf_vmag,socp_opf_vang_deg,dc_opf_vang_deg,pp_acpf_vang_deg,pp_dcopf_vang_deg,pp_acopf_vang_deg
Bus01,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
Bus02,0.991653,1.000000,0.977279,1.000000,0.991630,-2.788171,7.099618,-3.214972,6.826556,-2.743518
Bus03,1.027985,1.000000,1.000000,1.000000,1.027940,-0.000000,20.284620,-0.692169,19.504444,0.088342
Bus04,1.014434,1.000000,0.977285,1.000000,1.014368,-2.667000,22.313085,-3.837474,21.454892,-2.536364
Bus05,1.044457,1.000000,1.000000,1.000000,1.044373,0.000000,30.426935,-1.245082,29.256672,0.172932
Bus06,1.025705,1.000000,0.977291,1.000000,1.025655,-2.609929,27.384244,-4.321004,26.331009,-2.395719
Bus07,1.050000,1.000000,1.000000,1.000000,1.049987,0.000001,30.426939,-1.659288,29.256677,0.255757
Bus08,1.028542,1.000000,0.977294,1.000000,1.028531,-2.595850,22.313094,-4.666041,21.454903,-2.298957
Bus09,1.050000,1.000000,1.000000,1.000000,1.049992,0.000001,20.284633,-1.935199,19.504461,0.338142
Bus10,1.028542,1.000000,0.977297,1.000000,1.028537,-2.595846,7.099632,-4.872927,6.826576,-2.216551
Bus11,1.050000,1.000000,1.000000,1.000000,1.050000,0.000009,0.000016,-2.073087,0.000022,0.420505
Bus12,0.981227,1.000000,0.977297,1.000000,0.981421,-19.900577,-18.256139,-4.941867,-17.553974,-19.443656
Bus13,1.050000,1.000000,1.000000,1.000000,1.050000,-33.366901,-30.426910,-2.073087,-29.256639,-33.617276
Bus14,1.014542,1.000000,0.977297,1.000000,1.014199,-45.290155,-42.597681,-4.872927,-40.959304,-45.515586
Bus15,1.050000,1.000000,1.000000,1.000000,1.049184,-51.880518,-48.683067,-1.935199,-46.810637,-52.084709
Bus16,1.018377,1.000000,0.977294,1.000000,1.017658,-57.554465,-54.768453,-4.666041,-52.661970,-57.746546
Bus17,1.033096,1.000000,1.000000,1.000000,1.032474,-57.984338,-54.768455,-1.659288,-52.661972,-58.156210
Bus18,1.016920,1.000000,0.977291,1.000000,1.016369,-58.066353,-54.768456,-4.321004,-52.661974,-58.217473
Bus19,1.046269,1.000000,1.000000,1.000000,1.045852,-52.872265,-48.683073,-1.245082,-46.810644,-52.997832
Bus20,1.014384,1.000000,0.977285,1.000000,1.014102,-46.859341,-42.597689,-3.837474,-40.959315,-46.959459
Bus21,1.050000,1.000000,1.000000,1.000000,1.049999,-35.542983,-30.426921,-0.692169,-29.256654,-35.618324
Bus22,0.952766,1.000000,0.977279,1.000000,0.952554,-21.234162,-18.256153,-3.214972,-17.553993,-21.274149

branch_name,socp_opf_p_from_pu,dc_opf_p_from_pu,pp_acpf_p_from_pu,pp_dcopf_p_from_pu,pp_acopf_p_from_pu,socp_opf_q_from_pu,dc_opf_q_from_pu,pp_acpf_q_from_pu,pp_dcopf_q_from_pu,pp_acopf_q_from_pu
L01-02,0.964263,-2.382917,1.147308,-2.382918,0.949343,-0.002438,0.000000,0.255728,0.000000,0.000263
L02-03,-1.087535,-4.425417,-0.909009,-4.425418,-1.102170,-0.478929,0.000000,-0.243357,0.000000,-0.474800
L03-04,0.991069,-0.680834,1.124219,-0.680835,0.976127,0.102973,0.000000,0.258892,0.000000,0.105676
L04-05,-1.060826,-2.723334,-0.931589,-2.723335,-1.075494,-0.374002,0.000000,-0.237652,0.000000,-0.369939
L05-06,1.017739,1.021249,1.101232,1.021249,1.002516,0.210391,0.000000,0.262101,0.000000,0.211993
L06-07,-1.034662,-1.021251,-0.954082,-1.021251,-1.049609,-0.269113,0.000000,-0.231970,0.000000,-0.266140
L07-08,1.031546,2.723333,1.078324,2.723333,1.016486,0.266478,0.000000,0.265356,0.000000,0.268752
L08-09,-1.021250,0.680833,-0.976508,0.680833,-1.036041,-0.215000,0.000000,-0.226304,0.000000,-0.211384
L09-10,1.031544,4.425417,1.055472,4.425417,1.016480,0.266478,0.000000,0.268661,0.000000,0.268712
L10-11,-1.021251,2.382917,-0.998890,2.382917,-1.036047,-0.215000,0.000000,-0.220649,0.000000,-0.211422
L11-12,7.258580,6.127500,1.032654,6.127501,7.246471,1.222996,0.000000,0.272018,0.000000,1.217120
L12-13,4.724627,4.085000,-1.021250,4.085001,4.714241,-1.664269,0.000000,-0.215000,0.000000,-1.661530
L13-14,4.464015,4.085000,1.009846,4.085001,4.454845,0.311473,0.000000,0.275432,0.000000,0.318429
L14-15,2.239887,2.042500,-1.043610,2.042501,2.231418,-1.026665,0.000000,-0.209351,0.000000,-1.016199
L15-16,2.180904,2.042500,0.987028,2.042501,2.172967,0.332682,0.000000,0.278904,0.000000,0.331122
