solver,mode,converged,solve_time_s,obj_val
socp_opf,opf,True,0.109880,4540.536185
dc_opf,opf,True,0.003218,4493.500000
pp_acpf,pf,True,0.965825,
pp_dcopf,opf,True,0.011663,
pp_acopf,acopf,True,0.061588,4540.535192

bus_name,socp_opf_vmag,dc_opf_vmag,pp_acpf_vmag,pp_dcopf_vmag,pp_acopf_vmag,socp_opf_vang_deg,dc_opf_vang_deg,pp_acpf_vang_deg,pp_dcopf_vang_deg,pp_acopf_vang_deg
Bus01,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Bus02,0.991654,1.000000,0.977279,1.000000,0.991614,-2.788101,-3.042692,-3.214972,-2.925664,-2.788386
Bus03,1.027986,1.000000,1.000000,1.000000,1.027909,0.000129,0.000000,-0.692169,0.000003,-0.000003
Bus04,1.014434,1.000000,0.977285,1.000000,1.014319,-2.666861,-3.042692,-3.837474,-2.925660,-2.667592
Bus05,1.044456,1.000000,1.000000,1.000000,1.044307,0.000147,0.000000,-1.245082,0.000008,-0.000004
Bus06,1.025704,1.000000,0.977291,1.000000,1.025618,-2.609738,-3.042692,-4.321004,-2.925656,-2.610356
Bus07,1.050000,1.000000,1.000000,1.000000,1.049981,0.000242,0.000000,-1.659288,0.000012,-0.000003
Bus08,1.028542,1.000000,0.977294,1.000000,1.028527,-2.595607,-3.042692,-4.666041,-2.925653,-2.595924
Bus09,1.050000,1.000000,1.000000,1.000000,1.049991,0.000248,0.000000,-1.935199,0.000014,-0.000001
Bus10,1.028542,1.000000,0.977297,1.000000,1.028533,-2.595603,-3.042692,-4.872927,-2.925652,-2.595898
Bus11,1.050000,1.000000,1.000000,1.000000,1.049991,0.000249,0.000000,-2.073087,0.000013,-0.000002
Bus12,1.028542,1.000000,0.977297,1.000000,1.028533,-2.595602,-3.042692,-4.941867,-2.925654,-2.595899
Bus13,1.050000,1.000000,1.000000,1.000000,1.049991,0.000249,0.000000,-2.073087,0.000011,-0.000002
Bus14,1.028542,1.000000,0.977297,1.000000,1.028533,-2.595603,-3.042692,-4.872927,-2.925657,-2.595898
Bus15,1.050000,1.000000,1.000000,1.000000,1.049991,0.000248,0.000000,-1.935199,0.000007,-0.000001
Bus16,1.028542,1.000000,0.977294,1.000000,1.028527,-2.595607,-3.042692,-4.666041,-2.925661,-2.595924
Bus17,1.050000,1.000000,1.000000,1.000000,1.049981,0.000242,0.000000,-1.659288,0.000003,-0.000003
Bus18,1.025704,1.000000,0.977291,1.000000,1.025618,-2.609738,-3.042692,-4.321004,-2.925664,-2.610356
Bus19,1.044456,1.000000,1.000000,1.000000,1.044307,0.000147,0.000000,-1.245082,0.000000,-0.000004
Bus20,1.014434,1.000000,0.977285,1.000000,1.014319,-2.666861,-3.042692,-3.837474,-2.925666,-2.667592
Bus21,1.027986,1.000000,1.000000,1.000000,1.027909,0.000129,0.000000,-0.692169,-0.000001,-0.000003
Bus22,0.991654,1.000000,0.977279,1.000000,0.991614,-2.788101,-3.042692,-3.214972,-2.925666,-2.788386

branch_name,socp_opf_p_from_pu,dc_opf_p_from_pu,pp_acpf_p_from_pu,pp_dcopf_p_from_pu,pp_acopf_p_from_pu,socp_opf_q_from_pu,dc_opf_q_from_pu,pp_acpf_q_from_pu,pp_dcopf_q_from_pu,pp_acopf_q_from_pu
L01-02,0.964238,1.021250,1.147308,1.021249,0.964449,-0.002449,0.000000,0.255728,0.000000,-0.001689
L02-03,-1.087560,-1.021250,-0.909009,-1.021251,-1.087352,-0.478937,0.000000,-0.243357,0.000000,-0.478198
L03-04,0.991073,1.021250,1.124219,1.021249,0.991253,0.103002,0.000000,0.258892,0.000000,0.103734
L04-05,-1.060822,-1.021250,-0.931589,-1.021251,-1.060643,-0.373974,0.000000,-0.237652,0.000000,-0.373273
L05-06,1.017718,1.021250,1.101232,1.021249,1.017412,0.210379,0.000000,0.262101,0.000000,0.209079
L06-07,-1.034682,-1.021250,-0.954082,-1.021251,-1.034974,-0.269123,0.000000,-0.231970,0.000000,-0.270383
L07-08,1.031545,1.021250,1.078324,1.021250,1.031519,0.266478,0.000000,0.265356,0.000000,0.266373
L08-09,-1.021251,-1.021250,-0.976508,-1.021250,-1.021275,-0.215000,0.000000,-0.226304,0.000000,-0.215102
L09-10,1.031545,1.021250,1.055472,1.021250,1.031546,0.266478,0.000000,0.268661,0.000000,0.266480
L10-11,-1.021250,-1.021250,-0.998890,-1.021250,-1.021250,-0.215000,0.000000,-0.220649,0.000000,-0.215000
L11-12,1.031546,1.021250,1.032654,1.021250,1.031546,0.266478,0.000000,0.272018,0.000000,0.266479
L12-13,-1.021250,-1.021250,-1.021250,-1.021250,-1.021250,-0.215000,0.000000,-0.215000,0.000000,-0.215000
L13-14,1.031546,1.021250,1.009846,1.021251,1.031546,0.266478,0.000000,0.275432,0.000000,0.266479
L14-15,-1.021250,-1.021250,-1.043610,-1.021249,-1.021250,-0.215000,0.000000,-0.209351,0.000000,-0.215000
L15-16,1.031547,1.021250,0.987028,1.021251,1.031572,0.266478,0.000000,0.278904,0.000000,0.266587
L16-17,-1.021249,-1.021250,-1.065992,-1.021249,-1.021224,-0.215000,0.000000,-0.203696,0.000000,-0.214898
L17-18,1.045546,1.021250,0.964176,1.021250,1.045852,0.323444,0.000000,0.282440,0.000000,0.324774
L18-19,-1.007818,-1.021250,-1.088418,-1.021250,-1.007520,-0.160877,0.000000,-0.198030,0.000000,-0.159617
L19-20,1.073116,1.021250,0.941268,1.021250,1.072931,0.435446,0.000000,0.286043,0.000000,0.434716
L20-21,-0.981678,-1.021250,-1.110911,-1.021250,-0.981851,-0.056026,0.000000,-0.192348,0.000000,-0.056727
L21-22,1.101920,1.021250,0.918281,1.021250,1.101701,0.550739,0.000000,0.289716,0.000000,0.549946
L22-01,-0.954940,-1.021250,-1.133491,-1.021250,-0.955148,0.048937,0.000000,-0.186643,0.000000,0.048198

branch_name,tau,gap_1_minus_tau,in_loop,loop_residual_deg
L01-02,1.000000,-0.000000,no,
L02-03,1.000000,-0.000000,no,
L03-04,1.000000,-0.000000,no,
L04-05,1.000000,-0.000000,no,
L05-06,1.000000,-0.000000,no,
L06-07,1.000000,-0.000000,no,
L07-08,1.000000,-0.000000,no,
L08-09,1.000000,-0.000000,no,
