solver,mode,converged,solve_time_s,obj_val
socp_pf,pf,True,0.043059,5847.353668
dc_opf,opf,True,0.002573,5180.000001
pp_acpf,pf,True,0.013348,
pp_dcopf,opf,True,0.012652,

bus_name,socp_pf_vmag,dc_opf_vmag,pp_acpf_vmag,pp_dcopf_vmag,socp_pf_vang_deg,dc_opf_vang_deg,pp_acpf_vang_deg,pp_dcopf_vang_deg
Bus01,1.060000,1.000000,1.060000,1.000000,0.000000,0.000000,0.000000,0.000000
Bus02,1.045000,1.000000,1.045000,1.000000,-4.580321,-6.742766,-4.956518,-6.149862
Bus03,1.010000,1.000000,1.010000,1.000000,-13.108122,-15.177879,-12.632827,-13.971491
Bus04,1.026253,1.000000,1.026093,1.000000,-9.013835,-12.487494,-10.365949,-11.497806
Bus05,1.032322,1.000000,1.032598,1.000000,-10.281047,-10.739274,-8.946726,-9.916491
Bus06,1.070000,1.000000,1.070000,1.000000,-16.531518,-16.827999,-14.879378,-16.019490
Bus07,1.044460,1.000000,1.044812,1.000000,-12.155737,-15.954077,-13.450310,-14.956863
Bus08,1.090000,1.000000,1.090000,1.000000,-12.155737,-15.954077,-13.450310,-14.956863
Bus09,1.026834,1.000000,1.027631,1.000000,-12.845398,-17.777714,-15.069879,-16.776540
Bus10,1.026793,1.000000,1.027543,1.000000,-13.009976,-18.112544,-15.318134,-17.071180
Bus11,1.044464,1.000000,1.044943,1.000000,-17.058081,-17.729625,-15.213439,-16.750469
Bus12,1.052891,1.000000,1.053017,1.000000,-17.356170,-18.143184,-15.719677,-17.127727
Bus13,1.046099,1.000000,1.046234,1.000000,-17.456867,-18.446000,-15.738263,-17.295071
Bus14,1.016905,1.000000,1.017433,1.000000,-14.043318,-19.664709,-16.393991,-18.302282

branch_name,socp_pf_p_from_pu,dc_opf_p_from_pu,pp_acpf_p_from_pu,pp_dcopf_p_from_pu,socp_pf_q_from_pu,dc_opf_q_from_pu,pp_acpf_q_from_pu,pp_dcopf_q_from_pu
L01-02,1.447300,1.796213,1.560946,1.814016,-0.175194,0.000000,-0.202199,0.000000
L01-05,0.875216,0.793787,0.764342,0.775984,-0.029344,0.000000,-0.022862,0.000000
L02-03,0.803177,0.703988,0.726411,0.689565,0.029137,0.000000,0.036191,0.000000
L02-04,0.462551,0.512937,0.558499,0.529374,-0.041702,0.000000,-0.063487,0.000000
L02-05,0.328077,0.362288,0.416497,0.378077,-0.041082,0.000000,-0.065727,0.000000
L03-04,-0.166703,-0.238012,-0.238450,-0.252435,-0.035202,0.000000,-0.003395,0.000000
L04-05,-0.602988,-0.658409,-0.609710,-0.655406,0.050884,0.000000,0.042500,0.000000
L06-11,0.095559,0.064426,0.079142,0.064143,0.091978,0.000000,0.097098,0.000000
L06-12,0.079609,0.072902,0.080394,0.075612,0.033768,0.000000,0.032882,0.000000
L06-13,0.190021,0.172338,0.181602,0.170900,0.100942,0.000000,0.103956,0.000000
L07-08,-0.000000,0.000000,-0.000000,-0.000000,-0.270025,0.000000,-0.268027,0.000000
L07-09,0.280933,0.289323,0.275843,0.288695,0.171388,0.000000,0.167075,0.000000
L09-10,0.031575,0.060574,0.047814,0.060857,-0.011331,0.000000,-0.016817,0.000000
L09-14,0.080968,0.099760,0.088504,0.098488,0.000489,0.000000,-0.001816,0.000000
L10-11,-0.058459,-0.029426,-0.042264,-0.029143,-0.069421,0.000000,-0.075023,0.000000
L12-13,0.017806,0.011902,0.018584,0.014612,0.016097,0.000000,0.015196,0.000000
L13-14,0.070038,0.049240,0.062541,0.050512,0.053668,0.000000,0.056066,0.000000
L04-07,0.280933,0.289323,0.275843,0.288695,-0.081642,0.000000,-0.084424,0.000000
L04-09,0.126610,0.166011,0.155474,0.165650,0.003163,0.000000,0.003548,0.000000
L05-06,0.477190,0.421666,0.453137,0.422655,-0.128271,0.000000,-0.129766,0.000000

branch_name,tau,gap_1_minus_tau,in_loop,loop_residual_deg
L01-02,1.000000,-0.000000,no,
L01-05,1.000000,-0.000000,no,
L02-03,1.000000,-0.000000,no,
L02-04,1.000000,-0.000000,no,
L02-05,1.000000,-0.000000,yes,-2.602278
L03-04,1.000000,-0.000000,yes,2.624313
L04-05,1.000000,-0.000000,yes,-2.677334
L06-11,1.000000,-0.000000,no,
L06-12,1.000000,-0.000000,no,
L06-13,1.000000,-0.000000,no,
L07-08,1.000000,0.000000,no,
L07-09,1.000000,0.000000,yes,0.961638
L09-10,1.000000,-0.000000,no,
L09-14,1.000000,-0.000000,no,
L10-11,1.000000,-0.000000,yes,-4.343664
L12-13,1.000000,-0.000000,yes,-0.100544
L13-14,1.000000,-0.000000,yes,4.232319
L04-07,1.000000,0.000000,no,
L04-09,1.000000,0.000000,no,
L05-06,0.999995,0.000005,no,
