solver,mode,converged,solve_time_s,obj_val
Project_SOCP,pf,True,0.108021,2404.838141
Project_DC_OPF,opf,True,0.002754,770.000002
Circuits_NR,pf,True,0.891983,
Panda_DC_OPF,opf,True,0.015084,770.000000

bus_name,Project_SOCP_vmag,Project_DC_OPF_vmag,Circuits_NR_vmag,Panda_DC_OPF_vmag,Project_SOCP_vang_deg,Project_DC_OPF_vang_deg,Circuits_NR_vang_deg,Panda_DC_OPF_vang_deg
Bus01,1.060000,1.000000,1.060000,1.000000,0.000000,0.000000,0.000000,0.000000
Bus02,1.045000,1.000000,1.045000,1.000000,-4.580320,0.072378,-4.956518,0.055990
Bus03,1.010000,1.000000,1.010000,1.000000,-13.108122,-7.131374,-12.632827,-6.581119
Bus04,1.026253,1.000000,1.026093,1.000000,-9.013826,-3.279338,-10.365949,-3.084103
Bus05,1.032322,1.000000,1.032598,1.000000,-10.281052,-2.831396,-8.946726,-2.639110
Bus06,1.070000,1.000000,1.070000,1.000000,-16.531517,-6.120882,-14.879378,-5.766762
Bus07,1.044460,1.000000,1.044812,1.000000,-12.155734,0.897340,-13.450310,1.007249
Bus08,1.090000,1.000000,1.090000,1.000000,-12.155734,10.989992,-13.450310,11.099900
Bus09,1.026834,1.000000,1.027631,1.000000,-12.845366,-3.208579,-15.069879,-3.143557
Bus10,1.026793,1.000000,1.027543,1.000000,-13.009944,-4.199545,-15.318134,-4.038932
Bus11,1.044464,1.000000,1.044943,1.000000,-17.058081,-5.361300,-15.213439,-5.083704
Bus12,1.052891,1.000000,1.053017,1.000000,-17.356169,-7.195307,-15.719677,-6.607891
Bus13,1.046099,1.000000,1.046234,1.000000,-17.456866,-7.158579,-15.738263,-6.566528
Bus14,1.016905,1.000000,1.017433,1.000000,-14.043285,-6.517174,-16.393991,-5.939193

branch_name,Project_SOCP_p_from_pu,Project_DC_OPF_p_from_pu,Circuits_NR_p_from_pu,Panda_DC_OPF_p_from_pu,Project_SOCP_q_from_pu,Project_DC_OPF_q_from_pu,Circuits_NR_q_from_pu,Panda_DC_OPF_q_from_pu
L01-02,1.447299,-0.019281,1.560946,-0.016515,-0.175194,0.000000,-0.202199,0.000000
L01-05,0.875216,0.209281,0.764342,0.206515,-0.029345,0.000000,-0.022862,0.000000
L02-03,0.803177,0.601220,0.726411,0.585136,0.029137,0.000000,0.036191,0.000000
L02-04,0.462551,0.299269,0.558499,0.310827,-0.041702,0.000000,-0.063487,0.000000
L02-05,0.328078,0.263230,0.416497,0.270522,-0.041084,0.000000,-0.065727,0.000000
L03-04,-0.166703,-0.340780,-0.238450,-0.356864,-0.035203,0.000000,-0.003395,0.000000
L04-05,-0.602989,-0.168703,-0.609710,-0.184436,0.050883,0.000000,0.042500,0.000000
L06-11,0.095559,-0.054276,0.079142,-0.059938,0.091978,0.000000,0.097098,0.000000
L06-12,0.079609,0.059556,0.080394,0.057388,0.033768,0.000000,0.032882,0.000000
L06-13,0.190021,0.110528,0.181602,0.107151,0.100942,0.000000,0.103956,0.000000
L07-08,-0.000000,-1.000000,0.000000,-1.000000,-0.270025,0.000000,-0.268027,0.000000
L07-09,0.280934,0.651412,0.275843,0.658533,0.171388,0.000000,0.167075,0.000000
L09-10,0.031575,0.179276,0.047814,0.184938,-0.011331,0.000000,-0.016817,0.000000
L09-14,0.080968,0.174915,0.088504,0.180461,0.000490,0.000000,-0.001816,0.000000
L10-11,-0.058459,0.089276,-0.042264,0.094938,-0.069421,0.000000,-0.075023,0.000000
L12-13,0.017806,-0.001444,0.018584,-0.003612,0.016097,0.000000,0.015196,0.000000
L13-14,0.070038,-0.025915,0.062541,-0.031461,0.053668,0.000000,0.056066,0.000000
L04-07,0.280934,-0.348588,0.275843,-0.341467,-0.081642,0.000000,-0.084424,0.000000
L04-09,0.126610,-0.002220,0.155474,0.001866,0.003163,0.000000,0.003548,0.000000
L05-06,0.477190,0.227809,0.453137,0.216601,-0.128274,0.000000,-0.129766,0.000000

branch_name,tau,gap_1_minus_tau,in_loop,loop_residual_deg
L01-02,1.000000,-0.000000,no,
L01-05,1.000000,-0.000000,no,
L02-03,1.000000,-0.000000,no,
L02-04,1.000000,-0.000000,no,
L02-05,1.000000,-0.000000,yes,-2.602276
L03-04,1.000000,-0.000000,yes,2.624325
L04-05,1.000000,-0.000000,yes,-2.677349
L06-11,1.000000,-0.000000,no,
L06-12,1.000000,-0.000000,no,
L06-13,1.000000,-0.000000,no,
L07-08,1.000000,0.000000,no,
L07-09,1.000000,0.000000,yes,0.961671
L09-10,1.000000,-0.000000,no,
L09-14,1.000000,-0.000000,no,
L10-11,1.000000,-0.000000,yes,-4.343697
L12-13,1.000000,-0.000000,yes,-0.100543
L13-14,1.000000,-0.000000,yes,4.232353
L04-07,1.000000,0.000000,no,
L04-09,1.000000,0.000000,no,
L05-06,0.999997,0.000003,no,
