solver,mode,converged,solve_time_s,obj_val
socp_opf,opf,True,0.013915,740.429064
dc_opf,opf,True,0.002522,325.000000
pp_acpf,pf,True,0.011464,
pp_dcopf,opf,True,0.011522,
pp_acopf,acopf,True,0.050865,1255.774509

bus_name,socp_opf_vmag,dc_opf_vmag,pp_acpf_vmag,pp_dcopf_vmag,pp_acopf_vmag,socp_opf_vang_deg,dc_opf_vang_deg,pp_acpf_vang_deg,pp_dcopf_vang_deg,pp_acopf_vang_deg
Bus01,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Bus02,0.946162,1.000000,0.903241,1.000000,0.898276,-2.263127,-0.232483,-11.535375,-0.164813,-7.677094
Bus03,0.943533,1.000000,0.896614,1.000000,0.892527,-1.823442,0.269632,-12.045923,0.183125,-7.674550
Bus04,1.417502,1.000000,0.936388,1.000000,0.594741,36.362746,84.875349,-55.596042,61.743741,-6.966815
Bus05,1.500000,1.000000,1.000000,1.000000,0.639406,39.627781,99.304070,-55.225899,72.346695,2.774746

branch_name,socp_opf_p_from_pu,dc_opf_p_from_pu,pp_acpf_p_from_pu,pp_dcopf_p_from_pu,pp_acopf_p_from_pu,socp_opf_q_from_pu,dc_opf_q_from_pu,pp_acpf_q_from_pu,pp_dcopf_q_from_pu,pp_acopf_q_from_pu
L01-02,0.571721,0.037648,2.150130,0.031961,1.566092,0.352303,0.000000,0.322198,0.000000,0.523691
L01-03,0.467961,-0.037648,1.989472,-0.031961,1.415417,0.335464,0.000000,0.236557,0.000000,0.446964
L02-04,-0.752720,-1.201682,0.578689,-1.200565,0.129460,0.089055,0.000000,-0.306030,0.000000,0.042332
L03-05,-0.842256,-1.398318,0.570558,-1.399435,0.032636,0.124916,0.000000,-0.362779,0.000000,0.062356
L04-05,-1.802656,-1.851682,-0.307181,-1.850565,-0.566130,-0.011866,0.000000,-0.411148,0.000000,0.128870
L02-03,0.006402,-0.060671,0.082366,-0.067474,0.027556,0.022660,0.000000,0.002809,0.000000,0.035938

branch_name,tau,gap_1_minus_tau,in_loop,loop_residual_deg
L01-02,1.000000,-0.000000,no,
L01-03,1.000000,-0.000000,no,
L02-04,1.000000,0.000000,no,
L03-05,1.000000,0.000000,no,
L04-05,1.000000,-0.000000,yes,-1.579136
L02-03,1.000000,-0.000000,yes,0.374860
